Monit_MAP_CODE1,Year,GARAGE_mean,BASEMENT_mean,OTHER_COOLING,UNKNOWN_COOLING,FORCED AIR_COOLING,N_COOLING,Y_COOLING,1 AC UNIT_COOLING,A/CON_COOLING,CENTRAL W/AIR COND_COOLING,1_COOLING,0_COOLING,CONDOMINIUM,UNKNOWN_DWELL_TYPE,OTHER_DWELL,SINGLE-FAMILY / OWNER OCCUPIED,TOWNHOUSE,S.FAM.RES
19002300-01,2008,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03758020164986251,0.0006110601894286587,0.0,0.16987473266116712,0.7919340054995417
82011602-01,2013,0.7046439628482972,0.7517027863777089,0.0,0.248297213622291,0.0,0.02043343653250774,0.7312693498452012,0.0,0.0,0.0,0.0,0.0,0.12879256965944272,0.248297213622291,0.001238390092879257,0.29287925696594425,0.3287925696594427,0.0
27071100-01,2014,0.6318280418063499,0.4945770065075922,0.0,0.37763754683494377,0.5478209426148689,0.07454151055018735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10001900-01,2006,0.6688237533307956,0.0,0.008374571754853444,0.2805481537875904,0.0,0.0,0.0,0.7110772744575562,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82011602-01,2004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19034800-01,2012,0.0,0.0,0.004104669061056952,0.03608688216179237,0.9598084487771507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020010261672652643,0.09645972293483839,0.0,0.362066016760732,0.521463998631777
82009700-01,2014,0.7658015267175573,0.9074809160305344,0.0012213740458015267,0.09251908396946565,0.0,0.039083969465648856,0.8665648854961832,0.0,0.0,0.0006106870229007634,0.0,0.0,0.0006106870229007634,0.09251908396946565,0.004885496183206107,0.5862595419847328,0.31572519083969464,0.0
82007700-01,2013,0.7653061224489796,0.7857142857142857,0.0,0.21428571428571427,0.0,0.20408163265306123,0.5816326530612245,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.7857142857142857,0.0,0.0
27062700-01,2005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27004201-01,2006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27005300-01,2010,0.6968908368716614,0.00849198739898644,0.0,0.4559649363100945,0.5440350636899055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10001100-01,2005,0.87248322147651,0.0,0.006711409395973154,0.17718120805369128,0.0,0.0,0.0,0.8161073825503355,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82011301-01,2005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82011301-01,2013,0.6859504132231405,0.6942148760330579,0.0,0.30578512396694213,0.0,0.008264462809917356,0.6859504132231405,0.0,0.0,0.0,0.0,0.0,0.0,0.30578512396694213,0.0,0.6942148760330579,0.0,0.0
82010100-01,2007,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82010100-01,2008,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82005400-01,2007,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10001900-01,2011,0.7143784485556638,0.0,0.011684518013631937,0.27166504381694256,0.0,0.0,0.0,0.7166504381694255,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19034800-01,2013,0.0,0.0,0.004104669061056952,0.035744826406704296,0.9601505045322387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018984094407388404,0.09645972293483839,0.0,0.362066016760732,0.5224901658970412
10001900-01,2009,0.35543588017502525,0.0,0.01144395826321104,0.27701110737125545,0.0,0.0,0.0,0.7115449343655335,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82007700-01,2011,0.74,0.76,0.0,0.24,0.0,0.21,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.76,0.0,0.0
10001900-01,2012,0.7216463414634147,0.0,0.011280487804878048,0.2655487804878049,0.0,0.0,0.0,0.723170731707317,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
70002600-01,2006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19003100-01,2012,0.0,0.0,0.02349206349206349,0.28253968253968254,0.693968253968254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24952380952380954,0.0031746031746031746,0.0,0.09523809523809523,0.652063492063492
10005200-01,2009,0.2106631989596879,0.0,0.010403120936280884,0.6514954486345904,0.0,0.0,0.0,0.3381014304291287,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82005400-01,2013,0.5891089108910891,0.6435643564356436,0.0,0.3564356435643564,0.0,0.12376237623762376,0.5198019801980198,0.0,0.0,0.0,0.0,0.0,0.0,0.3564356435643564,0.0,0.6435643564356436,0.0,0.0
82009200-01,2008,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19003300-01,2005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06848,0.05536,0.0,0.32512,0.55104
82010300-01,2012,0.8912087912087913,0.9164835164835164,0.0,0.08351648351648351,0.0,0.04065934065934066,0.8758241758241758,0.0,0.0,0.0,0.0,0.0,0.0,0.08351648351648351,0.002197802197802198,0.7472527472527473,0.16703296703296702,0.0
82015900-01,2012,0.5706855791962175,0.6581560283687943,0.0,0.34184397163120567,0.0,0.23073286052009456,0.42742316784869977,0.0,0.0,0.0,0.0,0.0,0.029314420803782507,0.34184397163120567,0.03167848699763593,0.574468085106383,0.02269503546099291,0.0
19044600-01,2006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03134996801023673,0.007677543186180422,0.0,0.05416933248027298,0.9068031563233099
10009500-01,2009,0.32666666666666666,0.0,0.02666666666666667,0.5333333333333333,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19002601-01,2014,0.0,0.0,0.023910244620194962,0.14842744160382565,0.8276623137759794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12341364723192937,0.0281405186683833,0.0,0.11789589847342284,0.7305499356262645
82011602-01,2012,0.7050805452292441,0.7521685254027262,0.0,0.24783147459727387,0.0,0.020446096654275093,0.7317224287484511,0.0,0.0,0.0,0.0,0.0,0.1288723667905824,0.24783147459727387,0.0012391573729863693,0.2930607187112763,0.32899628252788105,0.0
10005200-01,2004,0.7307692307692307,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82036800-01,2005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82013700-01,2006,0.016080402010050253,0.464321608040201,0.03819095477386935,0.5316582914572864,0.0,0.0,0.0,0.0,0.4301507537688442,0.0,0.0,0.0,0.0,0.5206030150753769,0.4793969849246231,0.0,0.0,0.0
